TORCHFORT::WANDB: model: actor, step: 15, train_loss: -0.426211
TORCHFORT::WANDB: model: actor, step: 15, train_lr: 9.99981e-07
TORCHFORT::WANDB: model: rlwm, step: 8, actor_loss: -0.426211
TORCHFORT::WANDB: model: rlwm, step: 8, critic_loss: 4.91318
TORCHFORT::WANDB: model: critic_0, step: 16, train_loss: 2.18826
TORCHFORT::WANDB: model: critic_0, step: 16, train_lr: 9.99978e-07
TORCHFORT::WANDB: model: actor, step: 16, train_loss: -0.215714
TORCHFORT::WANDB: model: actor, step: 16, train_lr: 9.99978e-07
TORCHFORT::WANDB: model: rlwm, step: 8, actor_loss: -0.215714
TORCHFORT::WANDB: model: rlwm, step: 8, critic_loss: 2.18826
TORCHFORT::WANDB: model: critic_0, step: 17, train_loss: 1.25622
TORCHFORT::WANDB: model: critic_0, step: 17, train_lr: 9.99975e-07
TORCHFORT::WANDB: model: actor, step: 17, train_loss: -0.562124
TORCHFORT::WANDB: model: actor, step: 17, train_lr: 9.99975e-07
TORCHFORT::WANDB: model: rlwm, step: 9, actor_loss: -0.562124
TORCHFORT::WANDB: model: rlwm, step: 9, critic_loss: 1.25622
TORCHFORT::WANDB: model: critic_0, step: 18, train_loss: 1.4394e+08
TORCHFORT::WANDB: model: critic_0, step: 18, train_lr: 9.99971e-07
TORCHFORT::WANDB: model: actor, step: 18, train_loss: 0.562131
TORCHFORT::WANDB: model: actor, step: 18, train_lr: 9.99971e-07
TORCHFORT::WANDB: model: rlwm, step: 9, actor_loss: 0.562131
TORCHFORT::WANDB: model: rlwm, step: 9, critic_loss: 1.4394e+08
TORCHFORT::WANDB: model: critic_0, step: 19, train_loss: 1.69915
TORCHFORT::WANDB: model: critic_0, step: 19, train_lr: 9.99968e-07
TORCHFORT::WANDB: model: actor, step: 19, train_loss: 0.368882
TORCHFORT::WANDB: model: actor, step: 19, train_lr: 9.99968e-07
TORCHFORT::WANDB: model: rlwm, step: 10, actor_loss: 0.368882
TORCHFORT::WANDB: model: rlwm, step: 10, critic_loss: 1.69915
TORCHFORT::WANDB: model: critic_0, step: 20, train_loss: 2.00032
TORCHFORT::WANDB: model: critic_0, step: 20, train_lr: 9.99964e-07
TORCHFORT::WANDB: model: actor, step: 20, train_loss: -0.27343
TORCHFORT::WANDB: model: actor, step: 20, train_lr: 9.99964e-07
TORCHFORT::WANDB: model: rlwm, step: 10, actor_loss: -0.27343
TORCHFORT::WANDB: model: rlwm, step: 10, critic_loss: 2.00032
TORCHFORT::WANDB: model: critic_0, step: 21, train_loss: inf
TORCHFORT::WANDB: model: critic_0, step: 21, train_lr: 9.99961e-07
TORCHFORT::WANDB: model: actor, step: 21, train_loss: 0.138064
TORCHFORT::WANDB: model: actor, step: 21, train_lr: 9.99961e-07
TORCHFORT::WANDB: model: rlwm, step: 11, actor_loss: 0.138064
TORCHFORT::WANDB: model: rlwm, step: 11, critic_loss: inf
TORCHFORT::WANDB: model: critic_0, step: 22, train_loss: 0.721007
TORCHFORT::WANDB: model: critic_0, step: 22, train_lr: 9.99956e-07
TORCHFORT::WANDB: model: actor, step: 22, train_loss: 0.290187
TORCHFORT::WANDB: model: actor, step: 22, train_lr: 9.99956e-07
TORCHFORT::WANDB: model: rlwm, step: 11, actor_loss: 0.290187
TORCHFORT::WANDB: model: rlwm, step: 11, critic_loss: 0.721007
TORCHFORT::WANDB: model: critic_0, step: 23, train_loss: inf
TORCHFORT::WANDB: model: critic_0, step: 23, train_lr: 9.99952e-07
TORCHFORT::WANDB: model: actor, step: 23, train_loss: nan
TORCHFORT::WANDB: model: actor, step: 23, train_lr: 9.99952e-07
TORCHFORT::WANDB: model: rlwm, step: 12, actor_loss: nan
TORCHFORT::WANDB: model: rlwm, step: 12, critic_loss: inf
TORCHFORT::WANDB: model: critic_0, step: 24, train_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 24, train_lr: 9.99948e-07
TORCHFORT::WANDB: model: actor, step: 24, train_loss: -nan
TORCHFORT::WANDB: model: actor, step: 24, train_lr: 9.99948e-07
TORCHFORT::WANDB: model: rlwm, step: 12, actor_loss: -nan
TORCHFORT::WANDB: model: rlwm, step: 12, critic_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 25, train_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 25, train_lr: 9.99943e-07
TORCHFORT::WANDB: model: actor, step: 25, train_loss: nan
TORCHFORT::WANDB: model: actor, step: 25, train_lr: 9.99943e-07
TORCHFORT::WANDB: model: rlwm, step: 13, actor_loss: nan
TORCHFORT::WANDB: model: rlwm, step: 13, critic_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 26, train_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 26, train_lr: 9.99938e-07
TORCHFORT::WANDB: model: actor, step: 26, train_loss: nan
TORCHFORT::WANDB: model: actor, step: 26, train_lr: 9.99938e-07
TORCHFORT::WANDB: model: rlwm, step: 13, actor_loss: nan
TORCHFORT::WANDB: model: rlwm, step: 13, critic_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 27, train_loss: -nan
TORCHFORT::WANDB: model: critic_0, step: 27, train_lr: 9.99933e-07
TORCHFORT::WANDB: model: actor, step: 27, train_loss: nan
TORCHFORT::WANDB: model: actor, step: 27, train_lr: 9.99933e-07
TORCHFORT::WANDB: model: rlwm, step: 14, actor_loss: nan
TORCHFORT::WANDB: model: rlwm, step: 14, critic_loss: -nan
